customer_id,age,membership_years,number_of_children,quantity,unit_price,avg_purchase_value,purchase_frequency,avg_discount_used,online_purchases,in_store_purchases,total_sales,total_transactions,total_items_purchased,promotion_effectiveness,days_since_last_purchase,gender,income_bracket,marital_status,education_level,occupation,product_category,promotion_type,transaction_date,last_purchase_date,loyalty_program,churn,promo_flag
C1091,66,3,1,3.013888888888889,50.103559776554,146.02725844199688,24.0,0.2914378203306903,160,68,10513.962607823776,1151,5687,0.625,823,Female,Medium,Single,High School,Self-Employed,Clothing,no_promotion,2023-09-28,2023-09-28,0,0,1
C1092,39,9,0,2.8333333333333335,51.73880563883439,149.46675033311533,8.0,0.24738613881437724,168,46,10761.606023984305,2879,5744,0.6527777777777778,823,Male,High,Married,Bachelor's,Self-Employed,Books,Discount,2023-09-28,2023-09-28,0,0,1
C1093,25,1,2,2.9583333333333335,52.46791525982285,152.72388466835744,72.0,0.34156853056132136,152,70,10996.119696121736,3095,2586,0.5694444444444444,821,Male,High,Single,High School,Retired,Beauty,no_promotion,2023-09-30,2023-09-30,0,0,1
C1094,30,1,0,3.0416666666666665,50.47378776408611,148.43462109741944,72.0,0.3584727244875357,145,82,10687.2927190142,3383,2018,0.5833333333333334,828,Male,Medium,Divorced,High School,Self-Employed,Books,no_promotion,2023-09-23,2023-09-23,1,0,1
C1095,19,11,1,3.25,49.33545584584539,154.2251958958936,6.545454545454546,0.24537479951740618,180,65,11104.214104504339,2879,4837,0.6111111111111112,819,Other,Low,Single,High School,Retired,Sports,no_promotion,2023-10-02,2023-10-02,0,0,1
C1096,25,6,0,3.125,51.01451989694917,159.63557958779666,12.0,0.36348051275944815,147,87,11493.76173032136,3095,4685,0.5972222222222222,823,Male,High,Divorced,Master's,Employed,Clothing,no_promotion,2023-09-28,2023-09-28,0,0,1
C1097,49,15,3,2.9722222222222223,52.338164332652944,157.02365966462548,4.8,0.2615864161894097,168,53,11305.703495853035,3167,1867,0.6111111111111112,829,Male,Medium,Single,PhD,Retired,Electronics,no_promotion,2023-09-22,2023-09-22,1,1,1
C1098,51,11,4,2.9722222222222223,52.657584410891104,159.9005310104511,6.545454545454546,0.2638709331808113,161,67,11512.838232752478,2015,1363,0.625,820,Other,High,Single,Master's,Unemployed,Electronics,no_promotion,2023-10-01,2023-10-01,1,0,1
C1099,21,15,3,3.0,51.41342053167486,155.09119830945264,4.8,0.26466194029009554,155,69,11166.56627828059,1727,1295,0.6111111111111112,824,Male,High,Divorced,Master's,Employed,Books,no_promotion,2023-09-27,2023-09-27,0,0,1
C1100,26,12,0,2.875,52.01626408351074,147.3794585279552,6.0,0.29449269995353444,168,54,10611.321014012774,2879,6182,0.6666666666666666,817,Other,Medium,Single,Bachelor's,Self-Employed,Electronics,Discount,2023-10-04,2023-10-04,0,0,1
C1101,47,9,2,2.875,48.254475863486256,142.10433697459737,8.0,0.22428615688924142,143,66,10231.51226217101,935,1646,0.6666666666666666,812,Male,High,Divorced,Bachelor's,Retired,Home,BOGO,2023-10-09,2023-10-09,1,0,1
C1102,68,1,2,3.0972222222222223,49.44598413473854,150.21671431673192,72.0,0.2526727665369781,158,74,10815.603430804698,2951,7347,0.6527777777777778,812,Other,High,Married,Bachelor's,Unemployed,Home,no_promotion,2023-10-09,2023-10-09,0,0,1
C1103,50,7,1,2.9583333333333335,54.0312670868033,160.30216876734983,10.285714285714286,0.29302804552901063,136,76,11541.756151249187,2879,3376,0.5555555555555556,813,Male,Low,Single,Master's,Employed,Sports,no_promotion,2023-10-08,2023-10-08,1,0,1
C1104,42,15,0,2.9027777777777777,49.71473632677893,148.12270941167242,4.8,0.34346704544621515,138,81,10664.835077640415,3311,3444,0.6388888888888888,820,Female,High,Married,Bachelor's,Employed,Books,BOGO,2023-10-01,2023-10-01,1,0,1
C1105,70,1,0,2.9722222222222223,53.39426492250752,156.92807254530032,72.0,0.32998172890795613,168,54,11298.821223261624,1511,1795,0.5833333333333334,812,Other,Medium,Divorced,Master's,Unemployed,Beauty,no_promotion,2023-10-09,2023-10-09,1,0,1
C1106,53,3,4,3.0972222222222223,51.47462761025681,159.7339271076939,24.0,0.25042851888462914,174,53,11500.84275175396,1223,4683,0.5138888888888888,811,Other,High,Single,High School,Employed,Books,no_promotion,2023-10-10,2023-10-10,1,0,1
C1107,20,13,1,3.0277777777777777,48.7319617559051,148.51671860104864,5.538461538461538,0.24580666217179786,156,64,10693.203739275501,719,6479,0.6666666666666666,808,Other,High,Divorced,Master's,Retired,Clothing,Discount,2023-10-13,2023-10-13,0,0,1
