age,membership_years,number_of_children,quantity,unit_price,avg_purchase_value,purchase_frequency,avg_discount_used,online_purchases,in_store_purchases,total_transactions,total_items_purchased,promotion_effectiveness,days_since_last_purchase,loyalty_program,promo_flag,gender_Female,gender_Male,gender_Other,income_bracket_High,income_bracket_Low,income_bracket_Medium,marital_status_Divorced,marital_status_Married,marital_status_Single,education_level_Bachelor's,education_level_High School,education_level_Master's,education_level_PhD,occupation_Employed,occupation_Retired,occupation_Self-Employed,occupation_Student,occupation_Unemployed,product_category_Beauty,product_category_Books,product_category_Clothing,product_category_Electronics,product_category_Groceries,product_category_Home,product_category_Home Goods,product_category_Sports,product_category_Toys,promotion_type_20% Off,promotion_type_BOGO,promotion_type_Buy One Get One Free,promotion_type_Discount,promotion_type_Seasonal Discount,churn_prob
36,14,1,2.388888888888889,52.64013888888889,124.915,5.142857142857143,0.09,216,0,1800,2232,1.0,492,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.995
53,3,4,2.535211267605634,51.51549295774648,129.62450704225353,23.666666666666668,0.13,0,284,1207,4686,1.0,372,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
26,5,3,2.619718309859155,49.48014084507042,126.99098591549296,14.2,0.29,0,142,2059,1633,1.0,495,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.985
56,8,0,2.563380281690141,51.05042253521127,134.06704225352112,8.875,0.04,0,426,1491,7029,1.0,370,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.005
25,6,4,3.2222222222222223,52.539307215210655,168.05041998597687,12.0,0.2436730036980392,175,70,2015,1310,0.625,898,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.73
33,4,1,2.25,47.50611111111111,103.74111111111112,18.0,0.15,0,288,2088,2808,1.0,371,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.005
40,7,2,2.704225352112676,49.42070422535211,129.1785915492958,10.142857142857142,0.09,71,0,3337,3337,1.0,378,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.01
38,1,2,2.9444444444444446,52.86007463912071,150.17876038935253,72.0,0.3041956299387657,130,95,2231,4962,0.5555555555555556,664,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.69
25,6,0,2.4788732394366195,48.75056338028169,121.63845070422536,11.833333333333334,0.12,0,213,3053,4615,1.0,370,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.01
49,6,0,2.591549295774648,47.6430985915493,122.97352112676056,11.833333333333334,9.298732098924075,284,710,1349,6603,1.0,371,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0
60,8,0,2.513888888888889,47.24958333333333,116.4673611111111,9.0,0.15,0,144,1296,5544,1.0,375,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
49,5,3,2.5694444444444446,49.778888888888886,128.77152777777778,14.4,0.03,216,0,2592,4680,1.0,502,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.995
44,14,4,2.5416666666666665,49.50694444444444,125.81444444444443,5.142857142857143,14.913690070988231,648,576,1368,5544,1.0,377,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0
25,9,2,2.436619718309859,50.42704225352113,123.80366197183098,7.888888888888888,0.02,142,0,2627,1562,1.0,380,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
35,9,4,2.492957746478873,51.15084507042253,124.1074647887324,7.888888888888888,0.27,284,0,3408,6532,1.0,371,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.015
46,2,2,3.056338028169014,50.87295960371563,158.38395109091886,35.5,0.322260730512845,173,53,851,3053,0.6338028169014085,500,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.12
43,5,1,2.5972222222222223,51.750277777777775,135.80624999999998,14.4,0.08,0,288,3168,5544,1.0,491,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.985
40,7,2,2.5972222222222223,47.04388888888889,126.08458333333334,10.285714285714286,0.09,72,0,3384,3384,1.0,371,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
55,3,3,2.3472222222222223,53.72388888888889,127.49694444444444,24.0,9.222769018017392,576,72,576,864,1.0,371,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0
60,8,0,2.583333333333333,49.28736111111111,125.68069444444444,9.0,0.15,0,144,1296,5544,1.0,371,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0
55,5,1,2.4788732394366195,49.67647887323944,122.5888732394366,14.2,0.08,142,0,1917,2911,1.0,371,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0
46,12,4,2.430555555555556,50.53402777777777,121.67625,6.0,0.07,0,288,2664,2736,1.0,491,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.995
46,10,1,2.422535211267605,49.58225352112676,120.0574647887324,7.1,0.13,568,0,2698,2059,1.0,370,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.015
46,9,3,2.75,45.70986111111111,126.73472222222222,8.0,0.23,144,0,3672,6840,1.0,375,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0
62,1,3,2.4507042253521125,51.32760563380282,125.93845070422536,71.0,0.01,142,0,426,4047,1.0,371,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0
49,6,0,2.388888888888889,53.51055555555556,122.16791666666668,12.0,9.298732098924075,288,720,1368,6696,1.0,372,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
40,6,1,2.5492957746478875,49.35845070422535,122.8050704225352,11.833333333333334,0.14,142,0,2982,4473,1.0,370,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.005
29,2,3,2.591549295774648,55.518169014084506,146.0543661971831,35.5,10.422353915074105,284,71,3550,6532,1.0,387,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
19,10,4,2.361111111111111,53.48444444444445,125.93347222222224,7.199999999999999,0.22,0,288,648,5544,1.0,373,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.01
42,13,0,2.625,49.68638888888889,128.74541666666667,5.538461538461538,5.584120139568189,432,360,2160,2160,1.0,378,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0
38,1,2,2.647887323943662,53.37197183098591,135.91619718309855,71.0,0.0,213,0,2201,4899,1.0,499,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.99
40,6,0,2.5492957746478875,50.37169014084507,131.62535211267604,11.833333333333334,0.26,284,0,3337,1704,1.0,370,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.005
62,1,3,2.380281690140845,43.767183098591545,105.65197183098591,71.0,0.01,142,0,426,4047,1.0,374,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0
26,10,2,2.4444444444444446,54.14263888888889,135.54208333333335,7.199999999999999,0.11,288,0,1656,3312,1.0,505,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.995
70,3,2,2.5,48.74930555555556,123.12791666666668,24.0,0.03,144,0,1512,5256,1.0,384,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.005
25,6,4,2.611111111111111,49.602916666666665,129.64083333333332,12.0,0.11,144,0,2016,1224,1.0,504,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.98
68,11,4,2.422535211267605,49.78746478873239,119.62676056338027,6.454545454545454,0.07,71,0,2840,1704,1.0,525,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0
21,3,4,2.875,51.45793204558485,148.42589484900606,24.0,0.3169063309125567,159,63,2087,2363,0.4166666666666667,620,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.115
68,5,1,2.492957746478873,51.06661971830986,123.48577464788733,14.2,0.14,142,0,2414,3124,1.0,491,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.99
57,14,4,2.436619718309859,50.13718309859155,121.1687323943662,5.071428571428571,0.11,284,0,1349,6248,1.0,377,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
36,14,1,2.6944444444444446,48.25930555555556,131.085,5.142857142857143,0.09,216,0,1800,2232,1.0,527,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.975
45,9,3,3.138888888888889,54.46773222607382,173.348797785481,8.0,0.324563585048185,168,59,3455,6848,0.5555555555555556,776,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.78
30,4,0,2.2777777777777777,51.47680555555556,117.90722222222222,18.0,0.18,288,0,3024,2520,1.0,491,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.97
24,9,2,2.638888888888889,51.675694444444446,132.56944444444446,8.0,0.29,288,0,1728,1440,1.0,374,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
70,7,1,2.458333333333333,48.61638888888889,117.37152777777776,10.285714285714286,0.26,144,0,720,4464,1.0,374,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.005
67,10,4,2.375,47.44875,113.5213888888889,7.199999999999999,0.23,216,0,3024,1872,1.0,502,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.965
48,10,1,2.2535211267605635,50.27028169014085,115.4112676056338,7.1,0.3,213,0,2840,4615,1.0,370,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0
38,4,0,2.7222222222222223,49.11236111111111,131.425,18.0,0.16,144,0,3384,2592,1.0,492,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.985
68,11,1,2.4722222222222223,50.26,121.62277777777778,6.545454545454546,0.14,288,0,3600,2592,1.0,373,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0
54,12,2,2.535211267605634,45.39464788732394,110.54661971830988,5.916666666666667,0.08,0,142,2769,4047,1.0,374,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
43,12,4,2.4788732394366195,51.57323943661972,126.33380281690144,5.916666666666667,0.07,213,0,1278,1278,1.0,490,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.995
31,12,1,2.430555555555556,45.94347222222222,108.09069444444444,6.0,0.17,288,0,504,6048,1.0,372,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.005
24,10,3,2.763888888888889,50.90597222222223,143.35083333333333,7.199999999999999,0.17,0,144,1584,5616,1.0,491,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.965
57,9,1,2.507042253521127,54.559295774647886,137.7680281690141,7.888888888888888,0.19,142,0,426,4189,1.0,371,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.005
35,3,4,2.323943661971831,52.45901408450705,126.00732394366196,23.666666666666668,0.02,213,0,3195,4402,1.0,508,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.985
32,2,1,2.3943661971830985,49.67014084507042,120.26084507042256,35.5,0.13,426,0,3337,5325,1.0,376,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.005
48,6,1,2.555555555555556,50.85388888888889,125.79277777777776,12.0,6.729058415759139,720,72,3528,3096,1.0,372,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
52,8,3,2.5694444444444446,46.89597222222223,117.75083333333332,9.0,5.539578469529545,432,432,3600,7200,1.0,370,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0
18,3,0,2.605633802816901,50.4,132.4001408450704,23.666666666666668,0.29,0,355,1633,4686,1.0,372,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.005
47,10,3,2.5492957746478875,45.82464788732395,117.06309859154928,7.1,0.12,142,0,1704,3834,1.0,371,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.005
60,7,4,2.388888888888889,51.43013888888889,121.75847222222222,10.285714285714286,0.22,216,0,720,3024,1.0,370,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.005
49,6,0,2.388888888888889,47.03805555555555,103.75819444444444,12.0,9.298732098924075,288,720,1368,6696,1.0,375,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0
40,4,2,2.6619718309859155,51.48197183098592,138.44985915492958,17.75,8.484291688565325,0,710,2698,5609,1.0,375,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
21,1,2,2.75,51.85402777777778,146.01902777777778,72.0,0.02,0,72,2592,1728,1.0,373,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
58,13,1,2.563380281690141,53.50704225352113,140.69661971830988,5.461538461538462,12.497540224720405,568,213,568,2627,1.0,371,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0
52,12,4,2.5492957746478875,50.76647887323944,130.02535211267605,5.916666666666667,0.2,355,0,426,7171,1.0,504,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0
61,8,1,2.5972222222222223,50.03833333333333,131.51541666666668,9.0,0.17,360,0,2808,1944,1.0,492,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.99
47,4,2,2.5,53.76805555555556,131.5726388888889,18.0,14.628142769659158,144,720,3096,5112,1.0,375,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.005
49,14,4,2.611111111111111,48.36152777777778,124.24875,5.142857142857143,0.22,144,0,2016,1944,1.0,495,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.995
59,13,1,3.0422535211267605,49.00501031673307,145.9254534854105,5.461538461538462,0.331729423163535,143,76,638,5893,0.6901408450704225,450,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.06
51,14,1,2.513888888888889,50.72333333333333,131.1476388888889,5.142857142857143,5.486951393525363,72,648,1944,4896,1.0,371,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.005
40,2,0,2.611111111111111,45.38791666666666,116.20194444444444,36.0,0.08,144,0,1296,6048,1.0,373,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.01
59,13,1,2.4507042253521125,50.036197183098594,121.02816901408453,5.461538461538462,0.02,142,0,639,5822,1.0,371,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0
27,4,1,2.2916666666666665,53.00111111111111,118.83583333333334,18.0,0.02,216,0,1512,5832,1.0,370,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.015
55,2,1,2.3472222222222223,52.46680555555556,119.01138888888887,36.0,0.23,216,0,576,5832,1.0,498,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0
34,1,0,2.625,52.88722222222222,137.46680555555557,72.0,11.431400866504926,504,144,3240,5832,1.0,374,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0
45,6,0,2.638888888888889,51.35263888888889,132.50638888888886,12.0,12.092511217609008,216,432,1224,3672,1.0,374,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.005
37,9,4,2.4027777777777777,48.176944444444445,117.77125,8.0,0.25,216,0,648,5112,1.0,370,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0
61,1,4,2.5492957746478875,48.27422535211268,119.97070422535212,71.0,0.04,0,142,710,1775,1.0,516,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.98
33,12,1,2.5694444444444446,53.68055555555556,133.66347222222225,6.0,0.09,0,144,2952,4536,1.0,375,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
37,5,2,2.4507042253521125,51.49521126760563,123.48436619718308,14.2,10.56587716784563,213,71,2769,1846,1.0,370,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
43,4,1,2.591549295774648,52.41028169014085,140.13098591549294,17.75,0.28,284,0,1917,5325,1.0,374,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.01
29,14,4,2.430555555555556,51.52013888888889,124.71694444444444,5.142857142857143,0.28,288,0,2232,2808,1.0,371,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.005
