customer_id,age,gender,income_bracket,loyalty_program,membership_years,marital_status,number_of_children,education_level,occupation,transaction_id,transaction_date,product_category,quantity,unit_price,avg_purchase_value,purchase_frequency,last_purchase_date,avg_discount_used,online_purchases,in_store_purchases,total_sales,total_transactions,total_items_purchased,promotion_type,promotion_effectiveness,days_since_last_purchase,churn
C1015,46,Other,High,Yes,14,Married,2,PhD,Student,T1015,2023-01-16,Toys,5,54.20991901623983,116.98523605607228,Daily,2023-01-16,14.227082858856251,3,1,2048.497782356499,14,37,Seasonal Discount,Low,166,0
C1016,22,Male,Low,No,15,Divorced,2,High School,Self-Employed,T1016,2023-01-17,Electronics,2,141.43092403905845,88.3930954127933,Daily,2023-01-17,10.714524969103628,9,8,4448.265246817855,37,33,Seasonal Discount,Medium,165,0
C1017,31,Other,High,No,8,Single,4,Bachelor's,Student,T1017,2023-01-18,Groceries,4,145.43059502928443,90.78415990765444,,2023-01-18,5.558976335715786,6,5,2811.7303904092705,42,63,20% Off,Low,164,0
C1018,22,Female,High,No,14,Divorced,0,PhD,Self-Employed,T1018,2023-01-19,Electronics,2,16.43400722622954,121.41820355692047,Weekly,2023-01-19,6.278055515902431,4,10,847.4470972717502,39,24,,High,163,0
C1019,66,Other,High,Yes,12,Single,0,High School,Self-Employed,T1019,2023-01-20,Groceries,1,23.16489665403518,52.55276962446717,,2023-01-20,5.753511620564346,6,0,2230.368196841712,47,32,20% Off,Low,162,0
C1020,50,Female,Low,Yes,7,Single,3,Master's,Unemployed,T1020,2023-01-21,Clothing,5,154.46119560076846,140.5202728065252,Weekly,2023-01-21,13.619921016219289,2,4,3713.92087338908,38,85,Seasonal Discount,Medium,161,0
C1021,51,Male,High,Yes,1,Married,2,PhD,Student,T1021,2023-01-22,Electronics,2,36.77287805262353,112.12713603616407,Weekly,2023-01-22,8.421305715645037,6,6,4562.350192254337,20,86,Seasonal Discount,High,160,0
C1022,70,Other,Medium,No,9,Divorced,0,PhD,Employed,T1022,2023-01-23,Home Goods,1,38.70078631440177,138.5511040057759,,2023-01-23,12.725228540994877,2,4,,14,26,20% Off,High,159,0
C1023,39,Other,Low,No,13,Divorced,0,Bachelor's,Retired,T1023,2023-01-24,Clothing,1,119.29727808075948,135.6672808723111,Monthly,2023-01-24,12.824196736453482,3,3,5444.949426942906,18,23,,High,158,0
C1024,49,Female,Medium,Yes,6,Divorced,1,Master's,Retired,T1024,2023-01-25,Clothing,5,154.9431639860026,23.48126390092344,Daily,2023-01-25,11.255306622078866,2,0,212.87224655962825,13,72,Buy One Get One Free,High,157,0
C1025,37,Female,High,Yes,10,Single,0,Master's,Employed,T1025,2023-01-26,Electronics,1,172.3691782878873,115.71398570281134,Yearly,2023-01-26,13.058392384888036,1,9,4352.629136053117,19,16,20% Off,Medium,156,0
C1026,22,Male,Low,No,2,Married,3,Master's,Unemployed,T1026,2023-01-27,Home Goods,3,110.56661478754796,31.08223121172702,Monthly,2023-01-27,6.231446298648264,8,3,137.54174372483112,22,77,Buy One Get One Free,Medium,155,0
C1027,60,Other,Medium,Yes,1,Married,2,High School,Employed,T1027,2023-01-28,Electronics,1,46.63177083169704,,Monthly,2023-01-28,11.53923343621553,7,6,914.8342013256372,35,92,Buy One Get One Free,Low,154,0
C1028,30,Male,Low,No,12,Divorced,1,Master's,Employed,T1028,2023-01-29,Home Goods,2,71.08512524076616,33.74526714697458,Daily,2023-01-29,10.382436680341316,2,5,1983.849070388533,44,97,20% Off,Medium,153,0
C1029,43,Male,High,Yes,5,Married,1,High School,Employed,T1029,2023-01-30,Home Goods,4,119.30138918388096,16.849595852148514,Monthly,2023-01-30,6.640014433741484,7,1,520.0098696493563,43,73,Seasonal Discount,Medium,152,0
C1030,28,Male,High,Yes,9,Married,4,Master's,Self-Employed,T1030,2023-01-31,Toys,3,14.941087452096117,108.47343312539076,Yearly,2023-01-31,10.421933068635122,10,5,3030.623385195197,31,32,20% Off,Low,151,0
C1031,25,Female,Low,No,6,Married,4,Master's,Student,T1031,2023-02-01,Electronics,2,126.82011949516732,72.78115958753848,Monthly,2023-02-01,7.854456266258827,10,5,4378.116495215067,27,15,Seasonal Discount,High,150,0
C1032,66,Male,Medium,No,12,Divorced,0,PhD,Self-Employed,T1032,2023-02-02,Electronics,1,64.74906076788545,104.52787754411229,Daily,2023-02-02,12.246906308329049,3,5,1583.9387723288764,27,92,Buy One Get One Free,High,149,0
C1033,37,Other,Medium,Yes,13,Single,0,Master's,Self-Employed,T1033,2023-02-03,Groceries,1,157.09542499456168,94.70038837869242,Daily,2023-02-03,13.203249225295048,10,5,2979.796798037464,20,26,20% Off,High,148,0
C1034,32,Male,Low,No,2,Single,0,Master's,Unemployed,T1034,2023-02-04,Toys,4,103.67200691390556,44.27024127577016,Weekly,2023-02-04,5.848132087047908,10,0,4844.852200627099,10,77,20% Off,High,147,0
C1035,50,Male,Medium,Yes,2,Single,0,PhD,Employed,T1035,2023-02-05,Home Goods,1,88.2189310954422,52.89755997101193,Daily,2023-02-05,11.625428891147678,5,3,4423.805641599685,23,90,Buy One Get One Free,High,146,0
C1036,58,Other,Low,No,4,Married,4,PhD,Unemployed,T1036,2023-02-06,Groceries,1,32.39617155785261,,Monthly,2023-02-06,7.040439272233234,10,4,3597.0908535947992,38,28,,Medium,145,0
C1037,36,Female,High,No,5,Single,4,Master's,Student,T1037,2023-02-07,Electronics,5,180.68126666319407,22.82814112604616,Daily,2023-02-07,6.181456079389093,9,1,5336.798673761725,10,73,,Medium,144,0
C1038,66,Other,High,Yes,11,Married,2,Master's,Self-Employed,T1038,2023-02-08,Electronics,3,94.1939153353581,,,2023-02-08,5.520176522913397,7,1,3066.9309331834293,45,62,Seasonal Discount,High,143,0
C1039,51,Other,Medium,Yes,14,Married,1,PhD,Employed,T1039,2023-02-09,Home Goods,2,133.07523528941874,,Daily,2023-02-09,5.486951393525363,1,9,3569.380668634314,27,68,Buy One Get One Free,Medium,142,0
C1040,58,Female,Low,Yes,1,Divorced,1,Master's,Employed,T1040,2023-02-10,Groceries,3,61.32203734942527,92.2927625953903,Yearly,2023-02-10,10.723406226753792,3,8,889.6420039212742,21,64,Buy One Get One Free,Medium,141,0
C1041,48,Male,High,No,15,Divorced,2,PhD,Student,T1041,2023-02-11,Groceries,3,101.6769199159051,32.640136698193885,,2023-02-11,7.357124111528162,2,2,2358.4691333697,6,61,Buy One Get One Free,High,140,0
C1042,38,Female,High,Yes,4,Divorced,1,Bachelor's,Employed,T1042,2023-02-12,Electronics,2,138.68908406899274,23.96637087930829,Weekly,2023-02-12,6.127567961235672,8,0,3796.3761760278576,23,36,20% Off,Low,139,0
C1043,68,Male,High,Yes,5,Married,1,Master's,Self-Employed,T1043,2023-02-13,Clothing,3,110.03640666426293,105.13746885593784,Yearly,2023-02-13,9.342736549356683,5,3,2267.0241739380435,33,42,Buy One Get One Free,Low,138,0
C1044,69,Other,Medium,No,10,Divorced,2,Bachelor's,Unemployed,T1044,2023-02-14,Groceries,2,94.00417578216351,32.612271002204835,Daily,2023-02-14,11.988521437096658,4,10,3237.8747512116784,15,41,Seasonal Discount,Low,137,0
C1045,23,Other,High,No,5,Divorced,0,High School,Unemployed,T1045,2023-02-15,Electronics,1,17.53900943395514,85.7103511645172,,2023-02-15,10.441826594846464,2,10,813.2181011371749,28,17,,Low,136,0
C1046,62,Other,Low,Yes,12,Single,1,Master's,Employed,T1046,2023-02-16,Home Goods,4,146.83441940220257,33.71026237499226,Yearly,2023-02-16,8.937279162867917,4,10,2608.8630394064826,40,47,20% Off,Medium,135,0
C1047,70,Male,Low,Yes,9,Married,4,Master's,Unemployed,T1047,2023-02-17,Clothing,3,147.55462687853048,13.511305140370537,Daily,2023-02-17,6.051411937145272,2,3,3755.146153510246,18,53,Buy One Get One Free,Medium,134,0
C1048,54,Female,High,Yes,14,Divorced,2,Bachelor's,Retired,T1048,2023-02-18,Clothing,4,174.3264327639947,88.54747162603313,Yearly,2023-02-18,6.5933528789785125,9,3,2625.819267536924,11,14,Seasonal Discount,Medium,133,0
C1049,35,Male,High,Yes,12,Divorced,0,Master's,Employed,T1049,2023-02-19,Clothing,1,168.03168329490703,151.346407260847,Daily,2023-02-19,5.543592706147611,8,5,3455.0594908023086,12,78,,High,132,0
C1050,49,Male,Medium,No,11,Married,4,Bachelor's,Unemployed,T1050,2023-02-20,Groceries,5,143.57310401838217,,Weekly,2023-02-20,10.416272228669367,3,5,3840.80212138746,40,65,Buy One Get One Free,Medium,131,0
C1051,55,Other,Low,No,1,Divorced,4,Master's,Employed,T1051,2023-02-21,Electronics,5,185.9910122906732,,Weekly,2023-02-21,11.963909765832623,8,4,4242.296717598755,35,50,,Medium,130,0
C1052,38,Female,High,No,8,Divorced,2,Master's,Self-Employed,T1052,2023-02-22,Groceries,5,58.981999208576845,,,2023-02-22,11.0820626280203,3,7,4010.9718595132326,5,17,Seasonal Discount,High,129,0
C1053,34,Female,High,No,8,Single,4,Master's,Unemployed,T1053,2023-02-23,Groceries,3,120.42803861959838,75.733344215757,Daily,2023-02-23,9.187651188921814,5,2,1418.9021604350391,18,24,,Low,128,0
C1054,40,Male,Medium,Yes,4,Single,2,Bachelor's,Unemployed,T1054,2023-02-24,Toys,1,73.16318987270081,,Daily,2023-02-24,8.484291688565325,0,10,736.4080630379443,38,79,Seasonal Discount,High,127,0
C1055,66,Female,High,No,12,Divorced,1,High School,Unemployed,T1055,2023-02-25,Toys,3,26.459080961945823,127.1722607062844,Monthly,2023-02-25,5.044983345384118,1,9,979.6540704423496,44,65,20% Off,Medium,126,0
C1056,26,Other,High,No,10,Single,2,High School,Student,T1056,2023-02-26,Clothing,3,13.447412620547572,46.42876692431858,Monthly,2023-02-26,11.38543768930871,6,10,696.2876307222123,22,42,,Low,125,0
C1057,60,Male,Medium,No,4,Married,0,PhD,Retired,T1057,2023-02-27,Clothing,4,94.42995392832528,117.83215687117128,Weekly,2023-02-27,13.884722871342104,0,4,2785.767300662312,27,66,Seasonal Discount,Low,124,0
C1058,68,Female,Low,Yes,11,Single,4,Master's,Self-Employed,T1058,2023-02-28,Groceries,1,112.48907641670507,104.48551143759168,Monthly,2023-02-28,7.73831414487025,9,4,3292.915598579056,39,23,,Low,123,0
C1059,40,Other,High,No,12,Single,1,PhD,Student,T1059,2023-03-01,Electronics,3,11.652263374741622,106.5910814911756,Monthly,2023-03-01,9.263500858252426,1,0,3960.613397866384,39,14,,Medium,122,0
C1060,56,Male,Medium,No,10,Single,2,PhD,Employed,T1060,2023-03-02,Clothing,1,128.18181506247916,50.20814014131672,Yearly,2023-03-02,9.38779385926869,5,1,-77.62937490120089,46,26,Seasonal Discount,Medium,121,0
C1061,54,Female,Medium,Yes,4,Divorced,4,Master's,Retired,T1061,2023-03-03,Groceries,4,7.871069653696876,43.40689549268736,Yearly,2023-03-03,13.376228558734727,9,8,1769.6694635045465,46,64,Buy One Get One Free,High,120,0
C1062,39,Male,High,Yes,4,Single,0,Master's,Retired,T1062,2023-03-04,Home Goods,3,26.251352777838218,28.161774822238577,Monthly,2023-03-04,5.349438901470951,1,5,3837.441875545223,11,80,Buy One Get One Free,Low,119,0
C1063,57,Male,High,Yes,10,Divorced,1,PhD,Self-Employed,T1063,2023-03-05,Home Goods,5,101.35930986232736,3.4086532608135887,Monthly,2023-03-05,10.857318299357072,5,3,2664.117046375901,33,64,Buy One Get One Free,Medium,118,0
C1064,52,Other,High,No,12,Divorced,4,PhD,Unemployed,T1064,2023-03-06,Clothing,3,110.42231149307509,13.807683024520657,Daily,2023-03-06,9.473977377694512,0,4,2217.412035036073,5,96,Buy One Get One Free,Low,117,0
C1065,47,Female,Medium,Yes,5,Divorced,3,Bachelor's,Self-Employed,T1065,2023-03-07,Toys,1,10.47356139885892,14.518793571945206,Monthly,2023-03-07,7.54860044734124,3,2,2035.891646273279,7,83,,Medium,116,0
C1066,20,Other,Low,No,2,Single,1,Master's,Unemployed,T1066,2023-03-08,Clothing,5,116.96408001827054,106.79726436613144,Daily,2023-03-08,13.849072536657038,6,9,3847.135067799773,36,43,20% Off,Low,115,0
C1067,40,Male,Low,No,6,Single,0,High School,Student,T1067,2023-03-09,Groceries,3,36.59060222999148,,Weekly,2023-03-09,5.912293257487735,10,9,,46,20,20% Off,Medium,114,0
C1068,27,Female,High,Yes,4,Divorced,0,PhD,Unemployed,T1068,2023-03-10,Electronics,1,89.26485968964607,133.0216489837179,Monthly,2023-03-10,5.297601696020095,6,9,2570.85470569759,17,76,20% Off,High,113,0
C1069,53,Other,Medium,Yes,4,Divorced,2,PhD,Self-Employed,T1069,2023-03-11,Clothing,1,109.10545621065542,127.34634172635587,,2023-03-11,9.751926998589878,9,9,4125.780805465676,11,91,20% Off,High,112,0
C1070,64,Male,Low,No,1,Married,3,PhD,Self-Employed,T1070,2023-03-12,Clothing,3,23.46368820603404,124.9802157702082,Yearly,2023-03-12,9.674283984839116,9,8,1926.8551345309927,21,20,20% Off,Low,111,0
C1071,48,Male,Low,No,3,Married,2,High School,Student,T1071,2023-03-13,Home Goods,3,103.6130677019736,122.57782595595322,Daily,2023-03-13,7.527612156915008,10,10,3012.1473555462835,45,99,Buy One Get One Free,High,110,0
C1072,19,Female,Medium,Yes,10,Divorced,4,PhD,Employed,T1072,2023-03-14,Home Goods,4,166.79624584111212,131.39328707009753,Daily,2023-03-14,5.577462386849843,1,2,3013.253248200065,8,73,,Low,109,0
C1073,60,Male,Low,No,5,Divorced,4,Bachelor's,Self-Employed,T1073,2023-03-15,Clothing,5,179.43478753553626,109.35082193785236,,2023-03-15,11.800937961490014,10,0,2710.831428004466,48,51,Seasonal Discount,Medium,108,0
C1074,65,Other,High,No,2,Divorced,1,PhD,Self-Employed,T1074,2023-03-16,Clothing,4,110.54224233597112,7.471155937880001,Weekly,2023-03-16,11.598161949813935,1,2,2573.0353071302616,24,88,Seasonal Discount,High,107,0
C1075,35,Other,High,Yes,3,Single,4,Master's,Student,T1075,2023-03-17,Clothing,3,118.20261746793336,22.463408656187458,Yearly,2023-03-17,5.487164459026024,3,8,3077.2261097074725,44,59,Seasonal Discount,Low,106,0
C1076,40,Female,Low,No,12,Single,4,Master's,Unemployed,T1076,2023-03-18,Electronics,2,149.3185335330944,44.75108237905047,Monthly,2023-03-18,11.35829437789328,4,5,2451.968454021846,50,48,Buy One Get One Free,Medium,105,0
C1077,24,Other,Medium,No,12,Single,2,Master's,Retired,T1077,2023-03-19,Electronics,2,122.34080365365766,120.33774608730576,Weekly,2023-03-19,6.832388842832544,6,5,2066.5726751488287,15,83,20% Off,Low,104,0
C1078,38,Other,High,No,15,Married,4,High School,Retired,T1078,2023-03-20,Clothing,3,127.9449053454744,67.98055514624949,Monthly,2023-03-20,9.162939825659258,7,6,2802.6008592177946,46,31,20% Off,Medium,103,0
C1079,26,Other,Low,No,7,Divorced,4,Bachelor's,Employed,T1079,2023-03-21,Home Goods,2,9.405105038552716,,Yearly,2023-03-21,14.898889811978696,1,8,,38,53,Seasonal Discount,Low,102,0
C1080,70,Male,Medium,Yes,3,Single,2,PhD,Self-Employed,T1080,2023-03-22,Clothing,4,167.6970892641722,35.49657885262615,Monthly,2023-03-22,8.552503403507284,4,4,3343.71725920294,19,60,Seasonal Discount,High,101,0
C1081,46,Other,High,No,10,Single,1,PhD,Unemployed,T1081,2023-03-23,Electronics,5,14.60583442030648,83.43898343722606,Weekly,2023-03-23,12.879252106827012,1,8,1986.4315147564648,37,21,20% Off,Medium,100,0
C1082,40,Other,Medium,No,15,Divorced,3,PhD,Self-Employed,T1082,2023-03-24,Electronics,5,21.13770229078592,110.9480053541518,Monthly,2023-03-24,13.760554199470128,0,10,3169.5461361336475,38,23,,Low,99,0
C1083,45,Male,Low,No,3,Married,1,Master's,Student,T1083,2023-03-25,Home Goods,5,54.56268299787207,141.9800637889954,Monthly,2023-03-25,12.56641596481759,4,0,1196.7584612528808,47,17,Buy One Get One Free,Low,98,0
C1084,35,Female,Low,Yes,6,Married,2,PhD,Unemployed,T1084,2023-03-26,Home Goods,4,79.9434857394428,41.27200974085271,,2023-03-26,14.025522591247585,8,3,4702.922843202104,12,97,Buy One Get One Free,Medium,97,0
C1085,34,Other,High,Yes,13,Married,4,Bachelor's,Self-Employed,T1085,2023-03-27,Home Goods,2,136.7053375197681,127.89047606641624,Weekly,2023-03-27,11.811579115445555,2,4,5785.204160927445,46,71,Buy One Get One Free,Medium,96,0
C1086,68,Other,Low,Yes,2,Married,3,PhD,Self-Employed,T1086,2023-03-28,Groceries,4,13.101632644973064,98.53441492838942,Daily,2023-03-28,8.229444731972997,3,5,1923.556228768097,11,20,20% Off,High,95,0
C1087,56,Male,High,Yes,15,Single,1,Master's,Retired,T1087,2023-03-29,Clothing,4,120.67510586443362,89.59596855605027,Monthly,2023-03-29,6.3030308287512895,4,5,2872.079557575308,12,79,20% Off,Low,94,0
C1088,44,Male,High,No,9,Single,1,High School,Retired,T1088,2023-03-30,Toys,4,36.24304596001412,87.03438084706559,Weekly,2023-03-30,9.444820979837116,7,2,4470.413466600199,21,54,20% Off,Low,93,0
C1089,49,Other,Low,Yes,8,Single,4,High School,Retired,T1089,2023-03-31,Toys,3,38.20002402725721,56.75561115087625,Monthly,2023-03-31,12.954413061699023,3,0,3722.485659840229,18,13,20% Off,Medium,92,0
C1090,64,Male,Medium,No,12,Married,2,Bachelor's,Student,T1090,2023-04-01,Home Goods,3,147.05215156728318,67.4416494326615,Monthly,2023-04-01,12.769589298845162,3,2,4899.818428586261,23,36,20% Off,Medium,91,0
C1091,66,Female,Medium,No,3,Single,1,High School,Self-Employed,T1091,2023-04-02,Clothing,2,186.8663039118881,,Daily,2023-04-02,9.7335230638097,5,8,1734.9639497854942,15,76,,High,90,0
C1092,39,Male,High,No,9,Married,0,Bachelor's,Self-Employed,T1092,2023-04-03,Groceries,4,114.29400599607617,74.0018193569294,Monthly,2023-04-03,6.62180199463516,7,7,4992.659583984183,39,77,Buy One Get One Free,High,89,0
C1093,25,Male,High,No,1,Single,2,High School,Retired,T1093,2023-04-04,Toys,3,14.119898707245518,,Monthly,2023-04-04,12.722934200415136,2,10,,42,33,Seasonal Discount,High,88,0
C1094,30,Male,Medium,Yes,1,Divorced,0,High School,Self-Employed,T1094,2023-04-05,Clothing,1,125.77271901420032,86.62502769443672,Daily,2023-04-05,14.620036163102569,6,3,,46,25,Buy One Get One Free,Medium,87,0
C1095,19,Other,Low,No,11,Single,1,High School,Retired,T1095,2023-04-06,Groceries,5,38.03282090086776,92.06526230433916,Weekly,2023-04-06,5.916985565253246,9,7,3689.170793705528,39,64,20% Off,High,86,0
C1096,25,Male,High,No,6,Divorced,0,Master's,Employed,T1096,2023-04-07,Electronics,4,177.3954325803399,37.18996041085128,,2023-04-07,14.740596918680266,8,5,790.760940243602,42,62,,Medium,85,0
C1097,49,Male,Medium,Yes,15,Single,3,PhD,Retired,T1097,2023-04-08,Electronics,3,67.35783195101175,-0.5885371972076232,Monthly,2023-04-08,8.514221965637496,8,2,3047.4140468355963,43,23,Seasonal Discount,Medium,84,0
C1098,51,Other,High,Yes,11,Single,4,Master's,Unemployed,T1098,2023-04-09,Toys,3,88.14607758415924,,,2023-04-09,8.348707189018413,10,7,4556.457150939335,27,16,Buy One Get One Free,Medium,83,0
C1099,21,Male,High,No,15,Divorced,3,Master's,Employed,T1099,2023-04-10,Clothing,1,166.6162782805897,,Weekly,2023-04-10,9.06565970088688,2,7,-66.27438965815975,23,15,Seasonal Discount,Low,82,0
C1100,26,Other,Medium,No,12,Single,0,Bachelor's,Self-Employed,T1100,2023-04-11,Toys,1,97.30101401277328,141.64099734015593,Weekly,2023-04-11,10.25347439665448,6,10,3160.7343175299834,39,83,20% Off,High,81,0
C1101,47,Male,High,Yes,9,Divorced,2,Bachelor's,Retired,T1101,2023-04-12,Toys,1,111.59226217101062,112.1260711093045,Daily,2023-04-12,5.518603296025383,1,2,4297.452570867765,12,20,Seasonal Discount,Low,80,0
C1102,68,Other,High,No,1,Married,2,Bachelor's,Unemployed,T1102,2023-04-13,Home Goods,4,36.250857701174624,102.1811779036571,Daily,2023-04-13,7.612439190662421,5,8,4766.757118052388,40,99,Buy One Get One Free,Medium,79,0
C1103,50,Male,Low,Yes,7,Single,1,Master's,Employed,T1103,2023-04-14,Home Goods,5,138.25123024983716,89.32523986928436,Weekly,2023-04-14,9.738019278088764,2,2,1677.5290431054707,39,44,Buy One Get One Free,High,78,0
C1104,42,Female,High,Yes,15,Married,0,Bachelor's,Employed,T1104,2023-04-15,Groceries,5,133.03101552808312,132.37030720558667,Weekly,2023-04-15,13.09962727212749,10,5,569.5837720354413,45,45,Seasonal Discount,Low,77,0
C1105,70,Other,Medium,Yes,1,Divorced,0,Master's,Unemployed,T1105,2023-04-16,Toys,3,108.00707442054144,28.44341195335816,Weekly,2023-04-16,14.00868448137284,3,8,1104.4932957987194,20,22,Buy One Get One Free,High,76,0
C1106,53,Other,High,Yes,3,Single,4,High School,Employed,T1106,2023-04-17,Home Goods,4,96.23318793848998,113.44041308637225,Monthly,2023-04-17,7.220853359693295,6,2,,16,62,Seasonal Discount,Medium,75,0
C1107,20,Other,High,No,13,Divorced,1,Master's,Retired,T1107,2023-04-18,Toys,3,92.41124642516688,31.214962571766016,Yearly,2023-04-18,7.068079676369444,0,5,4057.327894692356,9,87,Buy One Get One Free,High,74,0
C1108,40,Female,Low,Yes,10,Single,4,High School,Unemployed,T1108,2023-04-19,Clothing,3,53.7644186455202,89.54620281778692,Yearly,2023-04-19,9.292650196056396,5,5,,31,83,Buy One Get One Free,High,73,0
C1109,21,Female,Medium,No,1,Divorced,2,Master's,Employed,T1109,2023-04-20,Groceries,3,179.2459283392786,127.4654296872886,,2023-04-20,12.861515995789958,8,0,3988.183882939125,35,23,Seasonal Discount,High,72,0
C1110,25,Female,High,Yes,10,Married,1,Bachelor's,Student,T1110,2023-04-21,Clothing,3,47.905043218120944,111.51562840656185,Monthly,2023-04-21,9.456698885006949,9,5,2564.843599216402,33,88,Seasonal Discount,Low,71,0
C1111,61,Male,High,No,11,Divorced,4,Master's,Student,T1111,2023-04-22,Toys,4,99.76069601058562,73.77334995218837,,2023-04-22,11.633271444535914,0,7,,43,99,Buy One Get One Free,Medium,70,0
C1112,58,Female,Medium,Yes,1,Married,0,PhD,Retired,T1112,2023-04-23,Home Goods,4,124.71973546177712,12.05611934712607,Weekly,2023-04-23,9.986497128962991,6,4,1295.374784038436,23,29,Buy One Get One Free,Low,69,0
C1113,40,Female,High,Yes,7,Divorced,2,High School,Self-Employed,T1113,2023-04-24,Home Goods,3,141.4894908151721,118.29727385569808,,2023-04-24,12.277057214010943,4,6,4161.2563930404085,46,46,Buy One Get One Free,Low,68,0
C1114,56,Other,Medium,No,8,Married,0,High School,Unemployed,T1114,2023-04-25,Electronics,2,178.5581612865676,106.91363175506667,Yearly,2023-04-25,14.608419844014572,9,1,,20,93,Seasonal Discount,Low,67,0
C1115,59,Other,Low,Yes,1,Single,2,PhD,Unemployed,T1115,2023-04-26,Home Goods,3,54.879527816460765,18.21604411650713,Daily,2023-04-26,6.01402270382121,1,0,1457.9335736331866,23,75,,High,66,0
C1116,55,Female,Low,No,1,Divorced,4,Bachelor's,Self-Employed,T1116,2023-04-27,Electronics,4,142.08603533628437,18.33813400782076,Daily,2023-04-27,5.426138397999495,5,2,598.6372893750474,37,39,Buy One Get One Free,Low,65,0
C1117,24,Male,Low,Yes,1,Married,1,Bachelor's,Retired,T1117,2023-04-28,Groceries,1,115.03266610069038,96.822693369748,Weekly,2023-04-28,8.528943429903109,10,6,3263.24576941566,15,13,Buy One Get One Free,Medium,64,0
C1118,50,Other,High,Yes,6,Divorced,4,High School,Self-Employed,T1118,2023-04-29,Clothing,1,169.16654538860053,157.18541935066818,Daily,2023-04-29,8.385596991553076,7,6,4082.747755196489,23,46,Buy One Get One Free,Low,63,0
